rank,city,region,body_name,body_type,address,phone,email,website,source_url,notes
1,Москва,город Москва,"Департамент по делам гражданской обороны, чрезвычайным ситуациям и пожарной безопасности города Москвы (Департамент ГОЧСиПБ)",department,"125375, г. Москва, ул. Тверская, д. 8, корп. 2",+7 (495) 637-22-22; единый телефон Системы 112,emercom@mos.ru,https://www.mos.ru/emercom/,https://www.mos.ru/emercom/,"Город = субъект РФ, орган совпадает с региональным. Наименование/адрес по Пост. Правительства Москвы №850-ПП. Вопросы сохранения ЗС ГО — компетенция Департамента; сведения о конкретных ЗС ГО ограниченного доступа."
2,Санкт-Петербург,город Санкт-Петербург,"Комитет по вопросам законности, правопорядка и безопасности Санкт-Петербурга",committee,"191060, Санкт-Петербург, Смольный проезд, д. 1 (Смольный)",+7 (812) 576-79-70; факс +7 (812) 576-43-74,zakon@gov.spb.ru,https://www.gov.spb.ru/gov/otrasl/c_zakonnost/,https://account.spb.ru/committees/items/19415,"Город = субъект РФ, орган совпадает с региональным. Оперативные функции — СПб ГКУ «Пожарно-спасательный центр» (опер. дежурный +7 (812) 575-75-57)."
3,Новосибирск,Новосибирская область,"Управление мэрии города Новосибирска по делам ГО, ЧС и обеспечению пожарной безопасности (в составе Департамента по ЧС и взаимодействию с административными органами)",directorate,"630099, г. Новосибирск, ул. Романова, д. 33, каб. 207","+7 (383) 229-67-00, +7 (383) 229-67-17",,https://novo-sibirsk.ru/dep/emergency/,https://www.novo-sibirsk.ru/dep/emergency/contacts/,"Оперативные функции — МКУ «Служба аварийно-спасательных работ и гражданской защиты» (ул. Колыванская, 4; +7 (383) 218-68-00). Email управления официально не опубликован."
4,Екатеринбург,Свердловская область,МКУ «Екатеринбургская городская единая дежурно-диспетчерская служба» (МКУ «ЕГ ЕДДС»),mku,"620102, г. Екатеринбург, ул. Радищева, д. 51",+7 (343) 222-30-05 (ЕДДС/оперативный),,,https://companies.rbc.ru/id/1126671006417-munitsipalnoe-kazennoe-uchrezhdenie-ekaterinburgskaya-gorodskaya-edinaya-dezhurno-dispetcherskaya-sluzhba/,"Нет отдельного управления ГО и ЧС с собственным сайтом. Функция ГО/ПБ возложена на МКУ «ЕГ ЕДДС»; нормативный орган — Комитет административных органов Администрации (Отдел гражданской защиты), пер. Банковский, 1. Email не подтверждён."
5,Казань,Республика Татарстан,МКУ «Управление гражданской защиты» Исполнительного комитета г. Казани,mku,"420015, Республика Татарстан, г. Казань, ул. Карла Маркса, д. 71А",+7 (843) 264-28-20,UGZ.Kazan@tatar.ru,https://kzn.ru/meriya/ispolnitelnyy-komitet/upravlenie-grazhdanskoy-zashchity/,https://kzn.ru/meriya/ispolnitelnyy-komitet/upravlenie-grazhdanskoy-zashchity/spravochnik-kontaktov/,"Профильный орган Исполкома г. Казани по ГО, ЧС и ПБ. Адрес/телефон/сайт подтверждены порталом kzn.ru."
6,Нижний Новгород,Нижегородская область,МКУ города Нижнего Новгорода «Управление по делам гражданской обороны и чрезвычайным ситуациям города Нижнего Новгорода»,mku,"603000, г. Нижний Новгород, ул. Гоголя, д. 8в",+7 (831) 430-90-38; оперативный дежурный +7 (831) 433-54-04,mchs@ugz52.ru,https://ugz52.ru/,https://ugz52.ru/kontakty-uprav/,Учредитель — администрация города. Контакты с офиц. сайта. По данным rusprofile на 2026 г. возможна реорганизация — перепроверить статус.
7,Челябинск,Челябинская область,Управление по гражданской обороне и чрезвычайным ситуациям города Челябинска,directorate,"454080, г. Челябинск, ул. Татьяничевой, д. 4 (5-й этаж)",+7 (351) 778-04-80,ugz74@mail.ru,https://bezopasnost112.ru/,https://bezopasnost112.ru/istoriya/,Постоянно действующий орган городского звена ТП РСЧС. В июне 2025 переименовано в текущее название. Email по агрегатору — уточнить.
8,Красноярск,Красноярский край,"Главное управление по гражданской обороне, чрезвычайным ситуациям и пожарной безопасности администрации города Красноярска",directorate,"660049, г. Красноярск, ул. К. Маркса, д. 93, каб. 136","+7 (391) 227-62-54, +7 (391) 226-10-31",adm@admkrsk.ru,https://www.admkrsk.ru/administration/structure/goupr/,https://www.admkrsk.ru/administration/structure/goupr/Pages/default.aspx,"Подведомственное — МКУ «ЦОМ ГО, ЧС и ПБ города Красноярска» (ул. Вокзальная, 12; +7 (391) 211-70-05; centr@go.admkrsk.ru; ведёт ЕДДС/112). adm@admkrsk.ru — общая канцелярия."
9,Самара,Самарская область,Управление гражданской защиты Администрации городского округа Самара,directorate,"443016, г. Самара, ул. Ставропольская, д. 88А","+7 (846) 930-78-67, +7 (846) 930-45-26",,https://samadm.ru/,https://spravkainform.ru/russia/samara/municipalnye-organy-upravleniya-po-delam-go-i-chs/upravlenie-grazhdanskoy-zashchity,Функциональный орган Администрации г.о. Самара по ГО и ЧС. Отдельного сайта нет; адрес/телефоны из агрегаторов — подтвердить на samadm.ru.
10,Уфа,Республика Башкортостан,МБУ «Управление гражданской защиты» городского округа город Уфа Республики Башкортостан,other,"450098, Республика Башкортостан, г. Уфа, ул. Российская, д. 157/1",+7 (347) 277-01-87; ЕДДС +7 (347) 279-90-00,canc@ugz-ufa.ru,https://ufa112.ru/,https://ufa112.ru/kontakty/,Форма — МБУ (муниципальное бюджетное учреждение). Учредитель — Администрация ГО г. Уфа. Контакты с офиц. сайта.
