city,area,district,body_name,org_name,body_type,address,phone,email,website,lat,lon,source_url,notes
Москва,Северный административный округ,Головинский район,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям Головинского района,Государственное бюджетное учреждение «Жилищник Головинского района»,ukp,"город Москва, улица Онежская, дом 39",(985) 206-75-94,a500z@mail.ru,,55.855906521,37.511810403,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Северный административный округ,Молжаниновский район,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям Молжаниновского района,Государственное бюджетное учреждение «Жилищник Молжаниновского района»,ukp,"город Москва, 4-я улица Новосёлки, дом 2",(916) 504-55-21,gbu-molganinovo@pnao.mos.ru,,55.927428744,37.390862467,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Северо-Восточный административный округ,Алексеевский район,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Алексеевский (проспект Мира),Управа Алексеевского района,ukp,"город Москва, проспект Мира, дом 104",(495) 682-45-84,alexdez@list.ru,,55.802166381,37.63676015,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Северо-Восточный административный округ,Бутырский район,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Бутырский,Государственное бюджетное учреждение «Жилищник Бутырского района» (ОДС),ukp,"город Москва, улица Яблочкова, дом 29В",(495) 610-42-01,gbubyt11A@svao.mos.ru,,55.823613964,37.576307034,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Северо-Восточный административный округ,район Лианозово,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Лианозово (Новгородская улица),Государственное бюджетное учреждение «Жилищник района Лианозово» (вывеска УКП),ukp,"город Москва, улица Новгородская, дом 32",(499) 908-80-79,gbu-lia@svao.mos.ru,,55.903597406,37.581370448,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Северо-Восточный административный округ,район Марфино,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Марфино,Государственное бюджетное учреждение «Жилищник района Марфино» (вывеска УКП),ukp,"город Москва, улица Академика Комарова, дом 9",(495) 618-18-26,Gbu.marfino@mail.ru,,55.829054156,37.590536975,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Северо-Восточный административный округ,район Южное Медведково,"Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Южное Медведково (улица Полярная улица, д.16)",Государственное бюджетное учреждение «Жилищник района Южное Медведково» (вывеска УКП),ukp,"город Москва, улица Полярная, дом 16, корпус 2, этаж 1",(499) 473-35-04,gbu_sme@mail.ru,,55.876697703,37.639319736,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Восточный административный округ,район Северное Измайлово,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Северное Измайлово,"Государственное бюджетное учреждение «Жилищник района Северное Измайлово» (1 этаж, мастерский участок)",ukp,"город Москва, 15-я Парковая улица, дом 42, корпус 5",(916) 966-69-16,PetrosyanLS@pvao.mos.ru,,55.806956176,37.824449408,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Юго-Восточный административный округ,Рязанский район,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Рязанский,Государственное бюджетное учреждение «Жилищник района Рязанский»,ukp,"город Москва, 1-я Новокузьминская улица, дом 22, корпус 2",(495) 378-08-02,gbu.ryazanka@yandex.ru,,55.712487899,37.792873759,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Юго-Восточный административный округ,район Выхино-Жулебино,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Выхино-Жулебино,Государственное бюджетное учреждение «Жилищник Выхино района Выхино-Жулебино» (участок № 4),ukp,"город Москва, Хвалынский бульвар, дом 1",(495) 955-14-91,vixino3@mail.ru,,55.69920165,37.853562975,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Юго-Восточный административный округ,район Марьино,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Марьино,"Государственное бюджетное учреждение «Жилищник района Марьино» (участок № 4, ОДС № 20)",ukp,"город Москва, Новочеркасский бульвар, дом 57",(495) 348-91-07,sekdez@yandex.ru,,55.649737897,37.739662664,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Юго-Восточный административный округ,район Кузьминки,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Кузьминки,Государственное бюджетное учреждение «Жилищник района Кузьминки»,ukp,"город Москва, улица Зеленодольская, дом 31, корпус 1",(495) 379-86-36,kuzminki.gbu@mail.ru,,55.707717299,37.768628851,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Юго-Восточный административный округ,район Печатники,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Печатники,Государственное бюджетное учреждение «Жилищник района Печатники»,ukp,"город Москва, улица Гурьянова, дом 23",(495) 657-35-00,gbupechat@yandex.ru,,55.687826363,37.719891465,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Южный административный округ,Даниловский район,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Даниловский,Государственное бюджетное учреждение «Жилищник района Даниловский» (ОДС № 322),ukp,"город Москва, улица Шухова, дом 4, кабинет 206",(499) 237-43-68,Gohs2020@mail.ru,,55.717110576,37.617997693,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Центральный административный округ,Басманный район,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Басманный,Государственное бюджетное учреждение «Жилищник Басманного района»,ukp,"город Москва, 1-й Басманный переулок, дом 6",(495) 607-04-36,gbu-basman@pcao.mos.ru,,55.770924172,37.663625867,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 14:00-17:00, чт 14:00-17:00"
Москва,Северный административный округ,район Аэропорт,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Аэропорт,Государственное бюджетное учреждение «Жилищник района Аэропорт»,ukp,"город Москва, 2-й Балтийский переулок, дом 4",(499) 151-88-04,sao-aeroport@mos.ru,,55.807774918,37.524739606,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
Москва,Центральный административный округ,Тверской район,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Тверской,Государственное бюджетное учреждение «Жилищник района Тверской» (участок № 8),ukp,"город Москва, 2-й Самотечный переулок,  дом 1/23",(925) 953-53-18,islanovRS@pcao.mos.ru,,55.777352278,37.616673072,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 14:00-17:00, чт 14:00-17:00"
Москва,Центральный административный округ,район Хамовники,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Хамовники,помещение Государственного бюджетного учреждения «Жилищник района Хамовники» (вывеска УКП),ukp,"город Москва, улица Ефремова, дом 13",(499) 242-52-04,gbu-hamovniki@pcao.mos.ru,,55.72443983,37.574283616,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 14:00-17:00, чт 14:00-17:00"
Москва,Центральный административный округ,район Якиманка,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям района Якиманка,Государственное бюджетное учреждение «Жилищник района Якиманка»,ukp,"город Москва, 1-й Кадашевский переулок, дом 9, строение 1",(495) 953-39-94,gbu-yakimanka@pcao.mos.ru,,55.742753344,37.622004626,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 14:00-17:00, чт 14:00-17:00"
Москва,Северный административный округ,Тимирязевский район,Учебно-консультационный пункт по гражданской обороне и чрезвычайным ситуациям Тимирязевского района,Управа Тимирязевского района,ukp,"город Москва, Астрадамский проезд, дом 4",(915) 120-04-01,TonkovVN@pnao.mos.ru,,55.811523171,37.561117903,https://data.mos.ru/opendata/1135,"Учебно-консультационный пункт по ГО и ЧС. график: вт 15:00-17:00, чт 15:00-17:00"
